urlProd,nom_attr_1,val_attr_1,id
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück L,148241
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück M,148240
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück S,148239
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück XS,148237
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Fuellungsmaterialien/Glasionomerzemenze/18183/Ketac-Cem-Easymix?number=19695,vairante,Introkit,117771
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Fuellungsmaterialien/Glasionomerzemenze/18183/Ketac-Cem-Easymix?number=19695,vairante,Nachfüllpackung 12 ml Flüssigkeit,151764
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Fuellungsmaterialien/Glasionomerzemenze/18183/Ketac-Cem-Easymix?number=19695,vairante,Nachfüllpackung 30 g Pulver,151765
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Fuellungsmaterialien/Glasionomerzemenze/18183/Ketac-Cem-Easymix?number=19695,vairante,Trial Pack,144608
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück L,148241
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück M,148240
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück S,148239
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9859/smart-Latexhandschuhe-PF?number=110951,vairante,Packung 100 Stück XS,148237
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9863/smart-Latexhandschuhe-Premium-PF?number=110955,vairante,Packung 100 Stück L,148241
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9863/smart-Latexhandschuhe-Premium-PF?number=110955,vairante,Packung 100 Stück M,148240
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9863/smart-Latexhandschuhe-Premium-PF?number=110955,vairante,Packung 100 Stück S,148239
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/9863/smart-Latexhandschuhe-Premium-PF?number=110955,vairante,Packung 100 Stück XS,148237
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/3497201/smart-Nitrilhandschuhe-Soft?number=110961,vairante,Packung 100 Stück L,148241
https://dentalversender.de/Praxisbedarf/Verbrauchsmaterial/Einwegartikel/Handschuhe-unsteril/3497201/smart-Nitrilhandschuhe-Soft?number=110961,vairante,Packung 100 Stück M,148240
